C 0 1
C orange_peel orange
C orange orange_peel
C orange orange_juice
C orange citrus
C orange citrus_peel
C orange nutmeg
C orange bergamot
C orange strawberry
C orange grapefruit
C orange mandarin
C orange lemon_peel
C orange apple
C orange lime
C orange bitter_orange
C orange basil
C orange tangerine
C orange lemon
C cinnamon tarragon
C cinnamon anise
C cinnamon ginger
C cinnamon fennel
C cinnamon nutmeg
C cinnamon guava
C cinnamon star_anise
C tarragon cinnamon
C anise cinnamon
C anise star_anise
C anise clove
C ginger cinnamon
C ginger marjoram
C ginger nutmeg
C ginger rosemary
C ginger mace
C fennel cinnamon
C fennel star_anise
C nutmeg cinnamon
C nutmeg ginger
C nutmeg mace
C nutmeg seed
C nutmeg orange
C nutmeg black_sesame_seed
C nutmeg rapeseed
C guava cinnamon
C guava strawberry
C guava nectarine
C guava black_tea
C star_anise cinnamon
C star_anise fennel
C star_anise anise
C cherry apple
C apple cherry
C apple cabernet_sauvignon_wine
C apple orange_juice
C apple white_wine
C apple pineapple
C apple grape
C apple cognac
C apple melon
C apple apple_brandy
C apple cider
C apple strawberry
C apple quince
C apple bartlett_pear
C apple banana
C apple pear
C apple concord_grape
C apple plum
C apple muscat_grape
C apple honey
C apple nectarine
C apple beer
C apple orange
C apple kiwi
C apple red_wine
C apple apricot
C roasted_pork pork
C roasted_pork raw_beef
C roasted_pork beef
C roasted_pork bacon
C roasted_pork cured_pork
C roasted_pork chicken
C roasted_pork roasted_beef
C roasted_pork pork_sausage
C pork roasted_pork
C pork chicken
C pork raw_beef
C pork beef
C pork bacon
C pork cured_pork
C pork roasted_beef
C pork pork_sausage
C raw_beef roasted_pork
C raw_beef chicken
C raw_beef lamb
C raw_beef pork
C raw_beef beef
C raw_beef roasted_peanut
C raw_beef caviar
C raw_beef peanut
C raw_beef bacon
C raw_beef coffee
C raw_beef onion
C raw_beef cured_pork
C raw_beef beer
C raw_beef baked_potato
C raw_beef peanut_butter
C raw_beef soybean
C raw_beef roasted_beef
C raw_beef pork_sausage
C raw_beef pork_liver
C beef roasted_pork
C beef chicken
C beef raw_beef
C beef peanut
C beef coffee
C beef peanut_butter
C beef onion
C beef pork
C beef bacon
C beef roasted_peanut
C beef soybean
C beef lamb
C beef caviar
C beef cured_pork
C beef beer
C beef baked_potato
C beef roasted_beef
C beef pork_sausage
C beef pork_liver
C bacon roasted_pork
C bacon chicken
C bacon raw_beef
C bacon pork
C bacon beef
C bacon cured_pork
C bacon roasted_beef
C bacon pork_sausage
C cured_pork roasted_pork
C cured_pork chicken
C cured_pork raw_beef
C cured_pork pork
C cured_pork bacon
C cured_pork beef
C cured_pork roasted_beef
C cured_pork pork_sausage
C chicken roasted_pork
C chicken pork
C chicken raw_beef
C chicken beef
C chicken bacon
C chicken cured_pork
C chicken roasted_beef
C chicken pork_sausage
C roasted_beef roasted_pork
C roasted_beef chicken
C roasted_beef milk
C roasted_beef raw_beef
C roasted_beef peanut
C roasted_beef coffee
C roasted_beef peanut_butter
C roasted_beef onion
C roasted_beef pork
C roasted_beef bacon
C roasted_beef roasted_peanut
C roasted_beef soybean
C roasted_beef beef
C roasted_beef caviar
C roasted_beef cured_pork
C roasted_beef beer
C roasted_beef lamb
C roasted_beef sturgeon_caviar
C roasted_beef shallot
C roasted_beef baked_potato
C roasted_beef garlic
C roasted_beef pork_sausage
C roasted_beef butter
C roasted_beef potato
C roasted_beef potato_chip
C roasted_beef pork_liver
C roasted_beef egg
C pork_sausage roasted_pork
C pork_sausage chicken
C pork_sausage raw_beef
C pork_sausage pork
C pork_sausage bacon
C pork_sausage beef
C pork_sausage cured_pork
C pork_sausage roasted_beef
C cabernet_sauvignon_wine jamaican_rum
C cabernet_sauvignon_wine apple
C cabernet_sauvignon_wine rum
C cabernet_sauvignon_wine red_wine
C cabernet_sauvignon_wine cider
C cabernet_sauvignon_wine port_wine
C cabernet_sauvignon_wine white_wine
C cabernet_sauvignon_wine champagne_wine
C cabernet_sauvignon_wine whiskey
C cabernet_sauvignon_wine beer
C cabernet_sauvignon_wine cognac
C cabernet_sauvignon_wine pineapple
C cabernet_sauvignon_wine sherry
C cabernet_sauvignon_wine apple_brandy
C cabernet_sauvignon_wine wine
C jamaican_rum cabernet_sauvignon_wine
C jamaican_rum white_wine
C jamaican_rum cognac
C jamaican_rum apple_brandy
C jamaican_rum cider
C jamaican_rum rum
C jamaican_rum champagne_wine
C jamaican_rum blue_cheese
C jamaican_rum black_tea
C jamaican_rum beer
C jamaican_rum red_wine
C jamaican_rum port_wine
C jamaican_rum whiskey
C jamaican_rum parmesan_cheese
C jamaican_rum sherry
C jamaican_rum wine
C rum cabernet_sauvignon_wine
C rum white_wine
C rum cognac
C rum apple_brandy
C rum cider
C rum jamaican_rum
C rum red_wine
C rum port_wine
C rum whiskey
C rum beer
C rum parmesan_cheese
C rum black_tea
C rum sherry
C rum blue_cheese
C red_wine cabernet_sauvignon_wine
C red_wine white_wine
C red_wine pineapple
C red_wine cognac
C red_wine apple_brandy
C red_wine cider
C red_wine rum
C red_wine champagne_wine
C red_wine apple
C red_wine beer
C red_wine jamaican_rum
C red_wine whiskey
C red_wine port_wine
C red_wine sherry
C red_wine wine
C cider cabernet_sauvignon_wine
C cider white_wine
C cider cognac
C cider apple_brandy
C cider jamaican_rum
C cider rum
C cider red_wine
C cider port_wine
C cider beer
C cider sherry
C cider apple
C port_wine cabernet_sauvignon_wine
C port_wine white_wine
C port_wine cognac
C port_wine apple_brandy
C port_wine cider
C port_wine rum
C port_wine champagne_wine
C port_wine beer
C port_wine jamaican_rum
C port_wine red_wine
C port_wine sherry
C port_wine wine
C white_wine cabernet_sauvignon_wine
C white_wine apple
C white_wine port_wine
C white_wine cocoa
C white_wine black_tea
C white_wine passion_fruit
C white_wine whiskey
C white_wine beer
C white_wine cognac
C white_wine sherry
C white_wine red_wine
C white_wine rum
C white_wine muscat_grape
C white_wine champagne_wine
C white_wine brandy
C white_wine apple_brandy
C white_wine jamaican_rum
C white_wine cider
C white_wine parmesan_cheese
C white_wine strawberry
C white_wine pineapple
C white_wine wine
C champagne_wine cabernet_sauvignon_wine
C champagne_wine white_wine
C champagne_wine cognac
C champagne_wine jamaican_rum
C champagne_wine red_wine
C champagne_wine port_wine
C champagne_wine beer
C champagne_wine sherry
C champagne_wine wine
C whiskey cabernet_sauvignon_wine
C whiskey white_wine
C whiskey cognac
C whiskey rum
C whiskey beer
C whiskey jamaican_rum
C whiskey parmesan_cheese
C whiskey red_wine
C whiskey sherry
C beer cabernet_sauvignon_wine
C beer white_wine
C beer milk
C beer katsuobushi
C beer raw_beef
C beer cognac
C beer coffee
C beer cider
C beer rum
C beer champagne_wine
C beer swiss_cheese
C beer blue_cheese
C beer cheddar_cheese
C beer apple
C beer cocoa
C beer beef
C beer port_wine
C beer hop
C beer sherry
C beer roasted_beef
C beer red_wine
C beer gruyere_cheese
C beer jamaican_rum
C beer malt
C beer whiskey
C beer pork_liver
C beer wine
C cognac cabernet_sauvignon_wine
C cognac white_wine
C cognac apple
C cognac jamaican_rum
C cognac rum
C cognac cider
C cognac red_wine
C cognac grape_brandy
C cognac port_wine
C cognac champagne_wine
C cognac whiskey
C cognac beer
C cognac sherry
C cognac apple_brandy
C cognac wine
C pineapple cabernet_sauvignon_wine
C pineapple white_wine
C pineapple strawberry
C pineapple red_wine
C pineapple apple
C sherry cabernet_sauvignon_wine
C sherry white_wine
C sherry cognac
C sherry apple_brandy
C sherry cider
C sherry rum
C sherry champagne_wine
C sherry beer
C sherry jamaican_rum
C sherry whiskey
C sherry port_wine
C sherry red_wine
C sherry wine
C apple_brandy cabernet_sauvignon_wine
C apple_brandy white_wine
C apple_brandy cognac
C apple_brandy apple
C apple_brandy rum
C apple_brandy red_wine
C apple_brandy cider
C apple_brandy port_wine
C apple_brandy sherry
C apple_brandy jamaican_rum
C wine cabernet_sauvignon_wine
C wine white_wine
C wine cognac
C wine champagne_wine
C wine beer
C wine jamaican_rum
C wine port_wine
C wine sherry
C wine red_wine
C orange_juice orange
C orange_juice apple
C rye_bread wheat_bread
C rye_bread bread
C wheat_bread rye_bread
C wheat_bread bread
C bread rye_bread
C bread white_bread
C bread wheat_bread
C cocoa white_wine
C cocoa katsuobushi
C cocoa coffee
C cocoa black_tea
C cocoa beer
C black_tea white_wine
C black_tea katsuobushi
C black_tea geranium
C black_tea coffee
C black_tea thyme
C black_tea citrus_peel
C black_tea vanilla
C black_tea tea
C black_tea guava
C black_tea peppermint
C black_tea rum
C black_tea lemon_peel
C black_tea jasmine_tea
C black_tea jasmine
C black_tea raspberry
C black_tea lingonberry
C black_tea bell_pepper
C black_tea peppermint_oil
C black_tea cocoa
C black_tea soybean
C black_tea passion_fruit
C black_tea mint
C black_tea strawberry_jam
C black_tea okra
C black_tea japanese_plum
C black_tea basil
C black_tea green_tea
C black_tea spearmint
C black_tea tomato
C black_tea jamaican_rum
C black_tea mango
C passion_fruit white_wine
C passion_fruit strawberry
C passion_fruit quince
C passion_fruit black_tea
C muscat_grape white_wine
C muscat_grape grape
C muscat_grape strawberry
C muscat_grape concord_grape
C muscat_grape apple
C brandy white_wine
C parmesan_cheese white_wine
C parmesan_cheese milk
C parmesan_cheese camembert_cheese
C parmesan_cheese rum
C parmesan_cheese swiss_cheese
C parmesan_cheese blue_cheese
C parmesan_cheese cheddar_cheese
C parmesan_cheese cheese
C parmesan_cheese roquefort_cheese
C parmesan_cheese provolone_cheese
C parmesan_cheese romano_cheese
C parmesan_cheese cream_cheese
C parmesan_cheese jamaican_rum
C parmesan_cheese gruyere_cheese
C parmesan_cheese cottage_cheese
C parmesan_cheese goat_cheese
C parmesan_cheese mozzarella_cheese
C parmesan_cheese sheep_cheese
C parmesan_cheese feta_cheese
C parmesan_cheese emmental_cheese
C parmesan_cheese whiskey
C parmesan_cheese munster_cheese
C strawberry white_wine
C strawberry pineapple
C strawberry grape
C strawberry huckleberry
C strawberry melon
C strawberry juniper_berry
C strawberry blackberry
C strawberry guava
C strawberry black_currant
C strawberry apple
C strawberry honey
C strawberry elderberry
C strawberry passion_fruit
C strawberry nectarine
C strawberry bitter_orange
C strawberry orange
C strawberry quince
C strawberry bartlett_pear
C strawberry banana
C strawberry kiwi
C strawberry papaya
C strawberry pear
C strawberry muscat_grape
C strawberry tangerine
C strawberry olive
C strawberry raspberry
C strawberry concord_grape
C strawberry apricot
C strawberry plum
C strawberry blueberry
C strawberry black_raspberry
C strawberry mango
C strawberry berry
C strawberry cranberry
C marjoram ginger
C porcini matsutake
C porcini enokidake
C porcini shiitake
C porcini mushroom
C matsutake porcini
C matsutake shiitake
C matsutake enokidake
C matsutake mushroom
C enokidake porcini
C enokidake matsutake
C enokidake shiitake
C enokidake mushroom
C shiitake porcini
C shiitake matsutake
C shiitake enokidake
C shiitake mushroom
C mushroom porcini
C mushroom matsutake
C mushroom shiitake
C mushroom enokidake
C milk beer
C milk cheddar_cheese
C milk roasted_beef
C milk parmesan_cheese
C milk blue_cheese
C cheddar_cheese milk
C cheddar_cheese camembert_cheese
C cheddar_cheese swiss_cheese
C cheddar_cheese blue_cheese
C cheddar_cheese provolone_cheese
C cheddar_cheese cheese
C cheddar_cheese feta_cheese
C cheddar_cheese cream
C cheddar_cheese romano_cheese
C cheddar_cheese roquefort_cheese
C cheddar_cheese emmental_cheese
C cheddar_cheese buttermilk
C cheddar_cheese parmesan_cheese
C cheddar_cheese cottage_cheese
C cheddar_cheese goat_cheese
C cheddar_cheese beer
C cheddar_cheese cream_cheese
C cheddar_cheese mozzarella_cheese
C cheddar_cheese munster_cheese
C cheddar_cheese sheep_cheese
C cheddar_cheese gruyere_cheese
C blue_cheese milk
C blue_cheese camembert_cheese
C blue_cheese rum
C blue_cheese swiss_cheese
C blue_cheese cheese
C blue_cheese roquefort_cheese
C blue_cheese cream
C blue_cheese provolone_cheese
C blue_cheese romano_cheese
C blue_cheese cottage_cheese
C blue_cheese buttermilk
C blue_cheese beer
C blue_cheese goat_cheese
C blue_cheese cream_cheese
C blue_cheese mozzarella_cheese
C blue_cheese sheep_cheese
C blue_cheese gruyere_cheese
C blue_cheese jamaican_rum
C blue_cheese feta_cheese
C blue_cheese emmental_cheese
C blue_cheese parmesan_cheese
C blue_cheese munster_cheese
C blue_cheese cheddar_cheese
C katsuobushi cocoa
C katsuobushi coffee
C katsuobushi beer
C katsuobushi black_tea
C coffee katsuobushi
C coffee raw_beef
C coffee beef
C coffee roasted_peanut
C coffee jasmine_tea
C coffee tea
C coffee green_tea
C coffee cocoa
C coffee okra
C coffee beer
C coffee wood
C coffee peanut_butter
C coffee black_tea
C coffee popcorn
C coffee squid
C coffee roasted_beef
C coffee pork_liver
C lamb raw_beef
C lamb beef
C lamb roasted_beef
C roasted_peanut raw_beef
C roasted_peanut peanut
C roasted_peanut coffee
C roasted_peanut peanut_butter
C roasted_peanut beef
C roasted_peanut potato_chip
C roasted_peanut soybean
C roasted_peanut popcorn
C roasted_peanut roasted_beef
C roasted_peanut pork_liver
C caviar raw_beef
C caviar smoked_salmon
C caviar beef
C caviar sturgeon_caviar
C caviar salmon
C caviar tuna
C caviar roasted_beef
C peanut raw_beef
C peanut beef
C peanut peanut_butter
C peanut roasted_peanut
C peanut roasted_beef
C onion raw_beef
C onion beef
C onion shallot
C onion garlic
C onion chive
C onion roasted_beef
C baked_potato raw_beef
C baked_potato beef
C baked_potato roasted_beef
C baked_potato potato
C peanut_butter raw_beef
